split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery
train,env000040,7,5,2,7.704644203186035,3.475125312805176,-1,0,True,2.450420379638672,1,1.2422746419906616
train,env000040,7,5,3,5.0452117919921875,1.257378101348877,0,1,True,4.21318244934082,0,0.21965835988521576
train,env000064,4,6,0,9.696022987365723,5.94744873046875,1,1,True,9.078439712524414,1,0.16475151479244232
train,env000064,4,6,1,11.32928466796875,6.352625846862793,1,1,True,8.928716659545898,1,0.4823653995990753
train,env000064,4,6,2,11.299859046936035,6.328854560852051,1,1,True,9.140661239624023,1,0.4343584477901459
train,env000064,4,6,3,9.610685348510742,6.248664379119873,1,1,True,10.23259162902832,1,-0.1849799007177353
train,env000064,5,7,0,5.677886486053467,2.851547956466675,-1,-1,True,2.3779516220092773,-1,1.1675653457641602
train,env000064,5,7,1,5.203913688659668,2.3266260623931885,-1,-1,True,3.262361764907837,-1,0.6747854948043823
train,env000064,5,7,2,5.928233623504639,3.0371322631835938,-1,-1,True,3.1210434436798096,-1,0.9709760546684265
train,env000064,5,7,3,5.9879984855651855,2.6260807514190674,-1,-1,True,2.7053184509277344,-1,0.9764308333396912
train,env000064,8,8,0,5.43072509765625,2.153271436691284,-1,-1,True,2.3445770740509033,-1,0.9416297674179077
train,env000064,8,8,1,5.4550652503967285,2.128068208694458,-1,-1,True,2.781982421875,1,0.8034521341323853
train,env000064,8,8,2,5.402295112609863,2.022937536239624,1,1,True,3.6930649280548096,-1,0.5057855248451233
train,env000064,8,8,3,6.670476913452148,2.158482789993286,-1,-1,True,2.4624218940734863,0,0.9326374530792236
heldout,env000068,7,9,0,4.920500755310059,1.3414084911346436,-1,-1,True,4.875380992889404,-1,0.012606482021510601
heldout,env000068,7,9,1,5.620567798614502,1.5228534936904907,1,0,True,5.254777431488037,-1,0.08926692605018616
heldout,env000068,7,9,2,5.768579006195068,1.734701156616211,-1,-1,True,5.186519622802734,-1,0.14429275691509247
heldout,env000068,7,9,3,5.158771514892578,1.7506014108657837,-1,-1,True,5.018469333648682,-1,0.04116642475128174
heldout,env000068,1,10,0,6.850508689880371,1.8047863245010376,1,1,True,5.960562705993652,1,0.1763763278722763
heldout,env000068,1,10,1,5.535959243774414,2.347576141357422,1,1,True,6.093654632568359,1,-0.17491479218006134
heldout,env000068,1,10,2,7.593505382537842,3.2173614501953125,1,1,True,5.337177276611328,1,0.5155973434448242
heldout,env000068,1,10,3,8.273934364318848,2.7014570236206055,-1,-1,True,6.984127044677734,1,0.231460303068161
heldout,env000068,6,11,0,3.2882578372955322,1.0958889722824097,-1,-1,True,3.2213797569274902,0,0.03050493821501732
heldout,env000068,6,11,1,3.5262393951416016,1.2087353467941284,-1,-1,True,5.29414176940918,0,-0.7628476023674011
heldout,env000068,6,11,2,3.465341091156006,1.1248061656951904,-1,-1,True,3.8935635089874268,0,-0.18295921385288239
heldout,env000068,6,11,3,3.7959773540496826,1.1463180780410767,-1,-1,True,5.934757709503174,1,-0.8071907758712769
heldout,env000085,2,12,0,14.687999725341797,3.121846914291382,1,1,True,9.680595397949219,1,0.43293604254722595
heldout,env000085,2,12,1,9.857107162475586,2.627720832824707,1,1,True,9.347941398620605,1,0.07043001055717468
heldout,env000085,2,12,2,10.194182395935059,5.68684720993042,1,0,True,9.412543296813965,1,0.1734149008989334
