split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000064,5,7,1,5.203913688659668,5.203913688659668,-1,-1,False,1.0927528142929077,-1,nan,5.485698223114014,-1,nan,5.018341541290283,-1,nan
train,env000064,5,7,2,5.928233623504639,5.928233623504639,-1,-1,False,1.1141517162322998,-1,nan,5.431728839874268,-1,nan,5.616609573364258,-1,nan
train,env000064,5,7,3,5.9879984855651855,5.9879984855651855,-1,-1,False,1.0990519523620605,-1,nan,5.211954116821289,-1,nan,5.488305568695068,-1,nan
train,env000064,8,8,0,5.43072509765625,5.43072509765625,-1,-1,False,0.8811602592468262,1,nan,5.046192169189453,-1,nan,5.298299312591553,-1,nan
train,env000064,8,8,1,5.4550652503967285,5.4550652503967285,-1,-1,False,0.8810627460479736,1,nan,4.933924674987793,1,nan,5.406668663024902,-1,nan
train,env000064,8,8,2,5.402295112609863,5.402295112609863,1,1,False,0.8479183912277222,1,nan,6.028865814208984,-1,nan,5.157889366149902,1,nan
train,env000064,8,8,3,6.670476913452148,6.670476913452148,-1,-1,False,0.8925687074661255,1,nan,5.198182106018066,-1,nan,6.2455949783325195,-1,nan
heldout,env000068,7,9,0,4.920500755310059,4.920500755310059,-1,-1,False,5.587709426879883,-1,nan,4.679556846618652,-1,nan,5.0196051597595215,-1,nan
heldout,env000068,7,9,1,5.620567798614502,5.620567798614502,1,1,False,6.078843116760254,-1,nan,5.5928144454956055,0,nan,5.624070167541504,1,nan
heldout,env000068,7,9,2,5.768579006195068,5.768579006195068,-1,-1,False,5.960760593414307,-1,nan,5.612431526184082,-1,nan,6.008826732635498,-1,nan
heldout,env000068,7,9,3,5.158771514892578,5.158771514892578,-1,-1,False,5.737236976623535,-1,nan,5.038608074188232,-1,nan,5.038845062255859,-1,nan
heldout,env000068,1,10,0,6.850508689880371,6.850508689880371,1,1,False,5.4357428550720215,1,nan,6.181853294372559,1,nan,6.658522129058838,1,nan
heldout,env000068,1,10,1,5.535959243774414,5.535959243774414,1,1,False,5.234410762786865,1,nan,5.236912727355957,1,nan,5.181756973266602,1,nan
heldout,env000068,1,10,2,7.593505382537842,7.593505382537842,1,1,False,5.948419094085693,1,nan,6.458686828613281,1,nan,6.781373023986816,1,nan
heldout,env000068,1,10,3,8.273934364318848,8.273934364318848,-1,-1,False,6.220208644866943,1,nan,7.601646900177002,0,nan,7.686193466186523,-1,nan
heldout,env000068,6,11,0,3.2882578372955322,0.7190494537353516,-1,-1,True,2.453993558883667,-1,0.3247164785861969,3.6150002479553223,-1,-0.12717629969120026,3.505880355834961,-1,-0.08470411598682404
heldout,env000068,6,11,1,3.5262393951416016,0.5487082600593567,-1,-1,True,2.2049336433410645,-1,0.4437588155269623,3.800147533416748,-1,-0.09199169278144836,3.3863015174865723,-1,0.046997956931591034
heldout,env000068,6,11,2,3.465341091156006,0.717892587184906,-1,-1,True,2.388237714767456,-1,0.39203768968582153,3.4896416664123535,-1,-0.008844779804348946,3.5852484703063965,-1,-0.043643176555633545
heldout,env000068,6,11,3,3.7959773540496826,0.8199823498725891,-1,-1,True,2.323336601257324,-1,0.49483978748321533,4.095015048980713,-1,-0.10048326104879379,3.4209606647491455,-1,0.1260138750076294
heldout,env000085,2,12,0,14.687999725341797,14.687999725341797,1,1,False,13.387121200561523,1,nan,17.09650993347168,1,nan,15.517932891845703,1,nan
heldout,env000085,2,12,1,9.857107162475586,0.2803458273410797,1,1,True,13.044107437133789,1,-0.3327847719192505,11.658074378967285,1,-0.18805597722530365,11.492429733276367,1,-0.17075945436954498
heldout,env000085,2,12,2,10.194182395935059,10.194182395935059,1,1,False,12.974408149719238,-1,nan,11.56666088104248,1,nan,10.300483703613281,1,nan
heldout,env000085,2,12,3,9.770577430725098,0.2744736969470978,1,1,True,13.586333274841309,1,-0.40182334184646606,13.489603996276855,1,-0.3916371166706085,10.073486328125,1,-0.03189823031425476
heldout,env000085,9,13,0,6.18950080871582,6.18950080871582,1,1,False,4.57760763168335,1,nan,6.793613910675049,1,nan,6.031439304351807,1,nan
heldout,env000085,9,13,1,6.459994792938232,6.459994792938232,-1,-1,False,6.2694807052612305,1,nan,7.0924224853515625,1,nan,7.036443710327148,-1,nan
heldout,env000085,9,13,2,7.017522811889648,7.017522811889648,1,1,False,4.851481914520264,1,nan,6.506582736968994,1,nan,6.65435266494751,1,nan
heldout,env000085,9,13,3,7.099628925323486,7.099628925323486,1,1,False,5.510499954223633,1,nan,6.55082893371582,1,nan,6.894766807556152,1,nan
heldout,env000085,5,14,0,4.222949028015137,0.2851426601409912,-1,-1,True,3.214226484298706,-1,0.2561635673046112,4.502999305725098,-1,-0.07111834734678268,4.112692832946777,-1,0.02799939550459385
heldout,env000085,5,14,1,4.143162727355957,0.34506872296333313,-1,-1,True,2.822981119155884,-1,0.3475905656814575,3.0302765369415283,-1,0.29301175475120544,3.8845927715301514,-1,0.06807886809110641
heldout,env000085,5,14,2,4.11386775970459,4.11386775970459,-1,-1,False,3.3243141174316406,-1,nan,4.401396751403809,-1,nan,4.136948585510254,-1,nan
heldout,env000085,5,14,3,2.565492630004883,0.01655581407248974,-1,-1,True,2.4574685096740723,-1,0.04238006845116615,2.619640827178955,-1,-0.021243443712592125,2.2404918670654297,-1,0.12750443816184998
