sample_index,environment,path_num,method,lr,iterations,initial_total,final_total,total_improvement,total_improvement_pct,initial_cp_error_m,initial_obstacle,final_obstacle,initial_curvature,final_curvature,initial_curvature_max,final_curvature_max,initial_out_of_bound,final_out_of_bound,initial_endpoint,final_endpoint,initial_weighted_obstacle,final_weighted_obstacle,initial_weighted_curvature,final_weighted_curvature,initial_weighted_out_of_bound,final_weighted_out_of_bound,initial_weighted_endpoint,final_weighted_endpoint,initial_feasible,final_feasible,initial_smoothness,final_smoothness,initial_jerk,final_jerk,initial_quality,final_quality,initial_cost,final_cost,initial_dangerous_ratio,final_dangerous_ratio,initial_unsafe_margin_ratio,final_unsafe_margin_ratio,initial_min_esdf,final_min_esdf,initial_path_length,final_path_length,initial_curvature_violation_ratio,final_curvature_violation_ratio,initial_control_oob_ratio,final_control_oob_ratio,initial_control_oob_max,final_control_oob_max,initial_cp_error_max,init_target_alpha,init_initialized_alpha,init_rho,init_alpha_clipped,final_x_norm,final_rho,final_slack,final_hard_boundary_margin,final_active_flat_index,final_active_control_point,final_active_coordinate,final_active_is_upper
10,env000064,13,P,0.003,300,7.484281539916992,4.164130210876465,3.3201513290405273,44.36165731249804,0.0,7.218011856079102,3.8420181274414062,0.9054061770439148,1.2793289422988892,4.711853504180908,7.118287563323975,0.0,0.0,0.0399177223443985,0.0022786790505051613,7.218011856079102,3.8420181274414062,0.2263515442609787,0.3198322355747223,0.0,0.0,0.0399177223443985,0.0022786790505051613,7.484281539916992,4.164129257202148,0.0009170506964437664,0.008260317146778107,0.0005336567992344499,0.009592436254024506,0.0005336567992344499,0.009592436254024506,7.484281539916992,4.164130210876465,0.3499999940395355,0.20999999344348907,0.36000001430511475,0.25,-1.1648136377334595,-0.6092893481254578,17.778169631958008,19.239280700683594,0.051020409911870956,0.040816325694322586,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
11,env000065,9,P,0.003,300,8.620216369628906,1.8193292617797852,6.800887107849121,78.89462185439197,0.0,7.197836399078369,1.7993600368499756,3.9372096061706543,0.07621030509471893,15.7604398727417,1.7880046367645264,0.0,0.0,0.43807774782180786,0.0009165354422293603,7.197836399078369,1.7993600368499756,0.9843024015426636,0.019052576273679733,0.0,0.0,0.43807774782180786,0.0009165354422293603,8.620216369628906,1.8193291425704956,0.0006508479127660394,0.0018340825336053967,0.00038926940760575235,0.000901397957932204,0.00038926940760575235,0.000901397957932204,8.620216369628906,1.8193292617797852,0.30000001192092896,0.05999999865889549,0.33000001311302185,0.09000000357627869,-1.1581223011016846,-0.774700403213501,9.151106834411621,11.22407054901123,0.23469388484954834,0.030612245202064514,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
12,env000065,15,P,0.003,300,7.356253623962402,5.175568580627441,2.180685043334961,29.643962196077027,0.0,7.1496710777282715,4.877802848815918,0.5131604075431824,0.40174978971481323,4.190434455871582,3.3569176197052,0.0,0.0,0.07829213887453079,0.1973278820514679,7.1496710777282715,4.877802848815918,0.1282901018857956,0.10043744742870331,0.0,0.0,0.07829213887453079,0.1973278820514679,7.356253623962402,5.175568580627441,0.0005930943298153579,0.0010744499741122127,0.0005902958801016212,0.00028663253760896623,0.0005902958801016212,0.00028663253760896623,7.356253623962402,5.175568580627441,0.3499999940395355,0.20000000298023224,0.3700000047683716,0.2199999988079071,-1.3337466716766357,-1.2909760475158691,17.014572143554688,17.1868896484375,0.020408162847161293,0.020408162847161293,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
13,env000040,9,P,0.003,300,7.489537715911865,2.3775155544281006,5.112022161483765,68.25550995788485,2.384185791015625e-07,7.1184797286987305,2.3739702701568604,1.082521677017212,0.0005418300861492753,5.784343242645264,1.4037928581237793,0.0,0.0,0.10042756795883179,0.0034098580945283175,7.1184797286987305,2.3739702701568604,0.270630419254303,0.00013545752153731883,0.0,0.0,0.10042756795883179,0.0034098580945283175,7.489537715911865,2.3775155544281006,0.0007529027061536908,0.002343307249248028,0.00031376429251395166,0.0009838981786742806,0.00031376429251395166,0.0009838981786742806,7.489537715911865,2.3775155544281006,0.20000000298023224,0.05999999865889549,0.20000000298023224,0.05999999865889549,-1.3597196340560913,-1.2899256944656372,14.400762557983398,15.199366569519043,0.09183673560619354,0.010204081423580647,0.0,0.0,0.0,0.0,2.384185791015625e-07,,,,,,,,,,,,
14,env000070,19,P,0.003,300,7.523976802825928,3.0885708332061768,4.435405969619751,58.95028767172512,4.76837158203125e-07,7.09885311126709,3.085016965866089,1.2345690727233887,0.005995297338813543,5.928017616271973,1.4260926246643066,0.0,0.0,0.1164812445640564,0.0020546535961329937,7.09885311126709,3.085016965866089,0.30864226818084717,0.0014988243347033858,0.0,0.0,0.1164812445640564,0.0020546535961329937,7.523976802825928,3.0885705947875977,0.0022400931920856237,0.004174206405878067,0.0012174027506262064,0.001925193122588098,0.0012174027506262064,0.001925193122588098,7.523976802825928,3.0885708332061768,0.25,0.12999999523162842,0.2800000011920929,0.14000000059604645,-1.1937187910079956,-0.8002140522003174,19.23587417602539,20.55541229248047,0.0714285746216774,0.030612245202064514,0.0,0.0,0.0,0.0,4.76837158203125e-07,,,,,,,,,,,,
15,env000071,13,P,0.003,300,7.703134536743164,2.7423079013824463,4.960826635360718,64.4001037720175,1.3486991292666062e-06,6.839238166809082,2.5795373916625977,1.830457329750061,0.6381654739379883,7.129632472991943,2.362403154373169,0.0,0.0,0.4062812626361847,0.003228896064683795,6.839238166809082,2.5795373916625977,0.45761433243751526,0.15954136848449707,0.0,0.0,0.4062812626361847,0.003228896064683795,7.703134059906006,2.742307662963867,0.0025863877963274717,0.0028986784163862467,0.002672641770914197,0.0013255627127364278,0.002672641770914197,0.0013255627127364278,7.703134536743164,2.7423079013824463,0.18000000715255737,0.07000000029802322,0.2199999988079071,0.07000000029802322,-1.4003098011016846,-1.3800817728042603,19.29998779296875,19.302722930908203,0.0714285746216774,0.11224489659070969,0.0,0.0,0.0,0.0,1.3486991292666062e-06,,,,,,,,,,,,
16,env000065,10,P,0.003,300,7.071628093719482,2.8499162197113037,4.221711874008179,59.69929156423827,7.152557373046875e-07,6.756982803344727,2.618079423904419,1.12558913230896,0.1327521800994873,3.999455690383911,2.1980667114257812,0.0,0.0,0.03324776515364647,0.1986485868692398,6.756982803344727,2.618079423904419,0.28139728307724,0.033188045024871826,0.0,0.0,0.03324776515364647,0.1986485868692398,7.071628093719482,2.8499162197113037,0.0022806725464761257,0.002944665029644966,0.0017824330134317279,0.0011192073579877615,0.0017824330134317279,0.0011192073579877615,7.071628093719482,2.8499162197113037,0.20000000298023224,0.05999999865889549,0.20999999344348907,0.09000000357627869,-1.3281208276748657,-1.2866030931472778,19.30569076538086,20.54203987121582,0.10204081982374191,0.040816325694322586,0.0,0.0,0.0,0.0,7.152557373046875e-07,,,,,,,,,,,,
17,env000075,7,P,0.003,300,7.0244855880737305,3.55645489692688,3.4680306911468506,49.37060013383644,4.76837158203125e-07,6.667773246765137,3.54591965675354,1.072521686553955,0.03553290292620659,6.4588623046875,1.5254220962524414,0.0,0.0,0.0885821282863617,0.0016519950004294515,6.667773246765137,3.54591965675354,0.26813042163848877,0.008883225731551647,0.0,0.0,0.0885821282863617,0.0016519950004294515,7.0244855880737305,3.55645489692688,0.0011678581358864903,0.0022885126527398825,0.0006918186554685235,0.000811611651442945,0.0006918186554685235,0.000811611651442945,7.0244855880737305,3.55645489692688,0.3499999940395355,0.1599999964237213,0.3499999940395355,0.1899999976158142,-0.985809326171875,-0.8003435730934143,17.328445434570312,18.878509521484375,0.06122449040412903,0.020408162847161293,0.0,0.0,0.0,0.0,4.76837158203125e-07,,,,,,,,,,,,
18,env000040,2,P,0.003,300,6.724930286407471,2.8590877056121826,3.865842580795288,57.48524395277356,4.76837158203125e-07,6.594912528991699,2.8527886867523193,0.14460313320159912,0.0029424906242638826,2.412221908569336,1.4205974340438843,0.0,0.0,0.09386701881885529,0.005563606508076191,6.594912528991699,2.8527886867523193,0.03615078330039978,0.0007356226560659707,0.0,0.0,0.09386701881885529,0.005563606508076191,6.724930286407471,2.8590877056121826,0.0002974335220642388,0.002259036060422659,0.0002380073710810393,0.0008370309369638562,0.0002380073710810393,0.0008370309369638562,6.724930286407471,2.8590877056121826,0.23000000417232513,0.09000000357627869,0.25,0.10000000149011612,-1.262349247932434,-0.9911405444145203,19.834102630615234,20.257808685302734,0.010204081423580647,0.010204081423580647,0.0,0.0,0.0,0.0,4.76837158203125e-07,,,,,,,,,,,,
19,env000075,3,P,0.003,300,6.672563076019287,2.0148627758026123,4.657700300216675,69.80376576665293,1.3486991292666062e-06,6.478545665740967,1.86545991897583,0.5160455703735352,0.5915787816047668,4.00889253616333,2.4155943393707275,0.0,0.0,0.0650056004524231,0.0015082195168361068,6.478545665740967,1.86545991897583,0.1290113925933838,0.1478946954011917,0.0,0.0,0.0650056004524231,0.0015082195168361068,6.672563076019287,2.0148627758026123,0.0009444071911275387,0.002512355102226138,0.0005373008316382766,0.001130127115175128,0.0005373008316382766,0.001130127115175128,6.672563076019287,2.0148627758026123,0.38999998569488525,0.05999999865889549,0.4300000071525574,0.07999999821186066,-0.9833016395568848,-0.7073943614959717,17.729267120361328,17.926050186157227,0.051020409911870956,0.13265305757522583,0.0,0.0,0.0,0.0,1.3486991292666062e-06,,,,,,,,,,,,
