sample_index,environment,path_num,method,lr,step,obstacle,curvature,curvature_max,out_of_bound,endpoint,weighted_obstacle,weighted_curvature,weighted_out_of_bound,weighted_endpoint,feasible,smoothness,jerk,quality,total,cost,dangerous_ratio,unsafe_margin_ratio,min_esdf,path_length,curvature_violation_ratio,control_oob_ratio,control_oob_max
3,env000098,15,R,0.03,50,0.002418209332972765,1.752842903137207,4.631415843963623,0.0,0.26133641600608826,0.002418209332972765,0.43821072578430176,0.0,0.26133641600608826,0.70196533203125,0.002684615086764097,0.0017254825215786695,0.0017254825215786695,0.7019655108451843,0.7019655108451843,0.0,0.0,0.6287474036216736,17.48248291015625,0.08163265138864517,0.0,0.0
4,env000079,19,R,0.03,50,1.899783968925476,0.009351802058517933,1.465462565422058,0.0,0.3400162160396576,1.899783968925476,0.0023379505146294832,0.0,0.3400162160396576,2.242138147354126,0.0018676912877708673,0.00040855989209376276,0.00040855989209376276,2.242138147354126,2.242138147354126,0.05999999865889549,0.05999999865889549,-1.2391457557678223,22.634597778320312,0.010204081423580647,0.0,0.0
5,env000064,16,R,0.03,50,4.271101951599121,1.5330983400344849,5.577071666717529,0.0,0.11741016805171967,4.271101951599121,0.3832745850086212,0.0,0.11741016805171967,4.771786689758301,0.006003997288644314,0.0041830469854176044,0.0041830469854176044,4.771787166595459,4.771787166595459,0.10999999940395355,0.20999999344348907,-1.3822624683380127,21.38327407836914,0.10204081982374191,0.0,0.0
6,env000073,2,R,0.03,50,4.450947284698486,0.0,1.361567497253418,0.0,0.008619433268904686,4.450947284698486,0.0,0.0,0.008619433268904686,4.459566593170166,0.0008627575589343905,0.00031173083698377013,0.00031173083698377013,4.459566593170166,4.459566593170166,0.23999999463558197,0.28999999165534973,-1.1330840587615967,15.88166618347168,0.0,0.0,0.0
7,env000098,8,R,0.03,50,1.5307557582855225,0.0,1.3464105129241943,0.0,0.766710102558136,1.5307557582855225,0.0,0.0,0.766710102558136,2.2974658012390137,0.0004197949019726366,0.00025495700538158417,0.00025495700538158417,2.2974658012390137,2.2974658012390137,0.07000000029802322,0.07999999821186066,-0.5015785694122314,11.686027526855469,0.0,0.0,0.0
8,env000075,2,R,0.03,50,3.569378137588501,0.12091312557458878,2.246391773223877,0.0,0.4160231053829193,3.569378137588501,0.030228281393647194,0.0,0.4160231053829193,4.015629768371582,0.0003315878857392818,7.58957612561062e-05,7.58957612561062e-05,4.015629768371582,4.015629768371582,0.15000000596046448,0.18000000715255737,-0.6931240558624268,13.958792686462402,0.010204081423580647,0.0,0.0
9,env000096,17,R,0.03,50,2.581516981124878,3.132887840270996,12.676375389099121,0.0,0.1014459878206253,2.581516981124878,0.783221960067749,0.0,0.1014459878206253,3.4661848545074463,0.001039512106217444,0.00046656018821522593,0.00046656018821522593,3.4661848545074463,3.4661848545074463,0.10999999940395355,0.1599999964237213,-0.5793816447257996,13.736822128295898,0.13265305757522583,0.0,0.0
10,env000064,13,R,0.03,50,4.049198150634766,0.9711164236068726,4.440677642822266,0.0,0.005450033117085695,4.049198150634766,0.24277910590171814,0.0,0.005450033117085695,4.297427654266357,0.002238584915176034,0.0012712943134829402,0.0012712943134829402,4.297427654266357,4.297427654266357,0.14000000059604645,0.17000000178813934,-0.7010840177536011,18.978015899658203,0.040816325694322586,0.0,0.0
11,env000065,9,R,0.03,50,1.7619659900665283,0.0,1.3478271961212158,0.0,0.01315433718264103,1.7619659900665283,0.0,0.0,0.01315433718264103,1.7751203775405884,0.0005329962004907429,0.0001246796309715137,0.0001246796309715137,1.7751203775405884,1.7751203775405884,0.07000000029802322,0.07999999821186066,-0.7373102307319641,12.989862442016602,0.0,0.0,0.0
12,env000065,15,R,0.03,50,0.9150401949882507,0.010080838575959206,1.470565915107727,0.0,0.12487463653087616,0.9150401949882507,0.0025202096439898014,0.0,0.12487463653087616,1.0424350500106812,0.0010868828976526856,0.00024234935699496418,0.00024234935699496418,1.0424350500106812,1.0424350500106812,0.05000000074505806,0.05000000074505806,-0.29375287890434265,20.408376693725586,0.010204081423580647,0.0,0.0
13,env000040,9,R,0.03,50,3.2640886306762695,0.004467439837753773,1.431272029876709,0.0,0.02421681396663189,3.2640886306762695,0.0011168599594384432,0.0,0.02421681396663189,3.2894222736358643,0.0011842672247439623,0.00037639355286955833,0.00037639355286955833,3.2894222736358643,3.2894222736358643,0.07999999821186066,0.07999999821186066,-1.3093147277832031,15.573797225952148,0.010204081423580647,0.0,0.0
14,env000070,19,R,0.03,50,0.004403618164360523,0.06535804271697998,1.857506275177002,0.0,0.024550143629312515,0.004403618164360523,0.016339510679244995,0.0,0.024550143629312515,0.04529327154159546,0.0021556587889790535,0.001285022939555347,0.001285022939555347,0.04529339820146561,0.04529339820146561,0.0,0.0,0.5476442575454712,21.536623001098633,0.010204081423580647,0.0,0.0
15,env000071,13,R,0.03,50,3.208017110824585,0.0,1.283629298210144,0.0,0.005271767731755972,3.208017110824585,0.0,0.0,0.005271767731755972,3.2132887840270996,0.0014733219286426902,0.0006396155222319067,0.0006396155222319067,3.2132887840270996,3.2132887840270996,0.07999999821186066,0.07999999821186066,-1.3233591318130493,20.857776641845703,0.0,0.0,0.0
16,env000065,10,R,0.03,50,0.47746819257736206,0.012156963348388672,1.4429434537887573,0.0,0.16932041943073273,0.47746819257736206,0.003039240837097168,0.0,0.16932041943073273,0.6498278379440308,0.0017744501819834113,0.0008792980806902051,0.0008792980806902051,0.6498278975486755,0.6498278975486755,0.029999999329447746,0.029999999329447746,-0.15489502251148224,22.03582000732422,0.030612245202064514,0.0,0.0
17,env000075,7,R,0.03,50,1.0229289531707764,1.9246618747711182,5.521036148071289,0.0,0.10232125967741013,1.0229289531707764,0.48116546869277954,0.0,0.10232125967741013,1.6064156293869019,0.00230718357488513,0.0008616643026471138,0.0008616643026471138,1.6064157485961914,1.6064157485961914,0.03999999910593033,0.05000000074505806,-0.5173259973526001,19.71664047241211,0.06122449040412903,0.0,0.0
18,env000040,2,R,0.03,50,1.1507741212844849,0.17062003910541534,2.5868895053863525,0.0,0.05238489806652069,1.1507741212844849,0.042655009776353836,0.0,0.05238489806652069,1.2458139657974243,0.0011283658677712083,0.0009765202412381768,0.0009765202412381768,1.2458140850067139,1.2458140850067139,0.05000000074505806,0.05000000074505806,-0.5880330801010132,22.51851463317871,0.020408162847161293,0.0,0.0
19,env000075,3,R,0.03,50,1.0747984647750854,0.7368562817573547,2.9978158473968506,0.0,0.008407355286180973,1.0747984647750854,0.18421407043933868,0.0,0.008407355286180973,1.2674199342727661,0.0010453731520101428,0.00042090073111467063,0.00042090073111467063,1.2674199342727661,1.2674199342727661,0.03999999910593033,0.03999999910593033,-0.5845657587051392,18.751028060913086,0.08163265138864517,0.0,0.0
20,env000053,7,R,0.03,50,1.1839673519134521,0.008478331379592419,1.4593483209609985,0.0,0.006297851447016001,1.1839673519134521,0.0021195828448981047,0.0,0.006297851447016001,1.1923847198486328,0.00123825971968472,0.0004916585166938603,0.0004916585166938603,1.1923847198486328,1.1923847198486328,0.03999999910593033,0.03999999910593033,-0.7684824466705322,17.82193946838379,0.010204081423580647,0.0,0.0
21,env000073,19,R,0.03,50,2.7937252521514893,1.8162339925765991,4.959042549133301,0.0,0.005121844820678234,2.7937252521514893,0.4540584981441498,0.0,0.005121844820678234,3.2529056072235107,0.002566893119364977,0.0014920036774128675,0.0014920036774128675,3.25290584564209,3.25290584564209,0.10999999940395355,0.20999999344348907,-0.530516505241394,15.742569923400879,0.0714285746216774,0.0,0.0
22,env000079,2,R,0.03,50,0.7181469798088074,0.0,1.3946616649627686,0.0,0.01749711111187935,0.7181469798088074,0.0,0.0,0.01749711111187935,0.7356441020965576,0.0014869788428768516,0.000705681333784014,0.000705681333784014,0.7356441617012024,0.7356441617012024,0.029999999329447746,0.05999999865889549,-0.36377033591270447,22.25336456298828,0.0,0.0,0.0
23,env000070,11,R,0.03,50,1.5847809314727783,0.07315146923065186,1.7794914245605469,0.0,0.0007365220226347446,1.5847809314727783,0.018287867307662964,0.0,0.0007365220226347446,1.6038053035736084,0.0017322199419140816,0.000832997087854892,0.000832997087854892,1.603805422782898,1.603805422782898,0.05000000074505806,0.05999999865889549,-0.7742716670036316,19.629093170166016,0.040816325694322586,0.0,0.0
