split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery
train,env000010,4,19,3,5.640833854675293,2.479067325592041,-1,-1,True,1.281766653060913,-1,1.3786808252334595
train,env000014,2,20,0,4.427368640899658,1.7212677001953125,1,1,True,0.13200661540031433,-1,1.5872881412506104
train,env000014,2,20,1,4.139205455780029,0.9328845143318176,1,1,True,0.12004771083593369,-1,1.2535107135772705
train,env000014,2,20,2,1.7081360816955566,0.04589017480611801,-1,-1,True,0.09817640483379364,-1,0.9685449004173279
train,env000014,2,20,3,3.5976686477661133,0.07414478808641434,-1,-1,True,0.1279842108488083,-1,0.98471999168396
train,env000036,0,21,0,3.916048049926758,1.148144245147705,1,1,True,1.1754834651947021,1,0.9901227951049805
train,env000036,0,21,1,4.245540618896484,1.2050327062606812,1,1,True,1.175694465637207,1,1.0096491575241089
train,env000036,0,21,2,4.388328552246094,1.3651913404464722,1,1,True,1.234431266784668,1,1.0432531833648682
train,env000036,0,21,3,4.152746677398682,1.1671878099441528,1,1,True,1.1861639022827148,1,0.9936439990997314
train,env000012,0,22,0,6.6702470779418945,1.9381496906280518,1,1,True,1.1995116472244263,1,1.1560909748077393
train,env000012,0,22,1,6.463065147399902,1.9452261924743652,1,1,True,1.174291968345642,1,1.1706422567367554
train,env000012,0,22,2,7.204606056213379,2.2744250297546387,1,1,True,1.1157653331756592,1,1.2350136041641235
train,env000012,0,22,3,6.747611999511719,1.9679213762283325,1,1,True,1.2613917589187622,1,1.1478191614151
train,env000057,4,23,0,5.865016460418701,0.8368433713912964,1,1,True,1.2350611686706543,1,0.9208027124404907
train,env000057,4,23,1,4.795956134796143,0.8007360696792603,1,1,True,1.340065836906433,1,0.8650062084197998
train,env000057,4,23,2,4.425393104553223,0.8545784950256348,1,1,True,1.2690346240997314,1,0.88393235206604
train,env000057,4,23,3,5.766474723815918,0.800976574420929,1,1,True,1.2388250827789307,1,0.9118219017982483
train,env000001,4,24,0,2.7043635845184326,0.120428666472435,-1,-1,True,0.19813388586044312,-1,0.9699274897575378
