variant,environment,path_num,condition_id,source_id,teacher_condition_safe,teacher_candidate_safe,student_candidate_safe,recovery,relative_teacher_error,max_control_point_deviation_m,mode_keep_vs_stage1,mode_match_teacher,teacher_cost,student_cost,teacher_min_esdf,student_min_esdf,newly_unsafe_point_count,newly_unsafe_point_indices,student_max_violation_m
B_cost_only,env000090,2,62,2,False,False,False,0.5859041810035706,1.4212660789489746,3.3663856983184814,True,True,2.174522876739502,3.472527503967285,-0.8063240051269531,-0.5967047810554504,19,15 16 17 18 30 33 34 38 43 44 45 46 47 48 49 50 51 52 53,0.5967047810554504
B_cost_only,env000090,2,62,3,False,False,False,0.5655795335769653,1.4627904891967773,3.2478156089782715,True,True,2.2058701515197754,3.465212345123291,-0.7969640493392944,-0.5349330306053162,16,15 16 17 18 33 34 38 45 46 47 48 49 50 51 52 53,0.5349330306053162
B_cost_only,env000088,1,63,0,False,False,False,0.16581033170223236,1.2146350145339966,2.0681233406066895,True,True,1.2378133535385132,4.210489273071289,-0.4314310848712921,-0.6084176898002625,17,48 49 52 53 54 55 56 59 60 61 62 63 64 68 69 70 71,0.6084176898002625
B_cost_only,env000088,1,63,1,False,False,False,0.5347753763198853,1.3996288776397705,2.7240312099456787,False,False,1.1364340782165527,4.913532733917236,-0.595227062702179,-0.7861328721046448,16,54 55 56 57 58 59 60 61 62 63 64 69 70 71 72 73,0.7861328721046448
B_cost_only,env000088,1,63,2,False,False,False,0.6124207973480225,1.237107515335083,2.0911035537719727,True,True,1.0839670896530151,3.323896884918213,-0.7249733209609985,-0.6131004691123962,9,68 69 70 71 72 73 74 75 76,0.6131004691123962
B_cost_only,env000088,1,63,3,False,False,False,-0.8525347709655762,1.2508529424667358,1.5286997556686401,True,True,1.7226463556289673,7.143558979034424,-0.4624922275543213,-0.9941776394844055,16,50 51 52 56 57 58 59 60 61 62 63 64 65 66 71 72,0.9941776394844055
B_cost_only,env000069,2,64,0,False,False,False,0.35547202825546265,1.0500918626785278,1.387855052947998,True,True,0.6782277822494507,3.9455699920654297,-0.263509601354599,-0.8810933232307434,10,6 7 9 10 11 12 13 14 15 16,0.8810933232307434
B_cost_only,env000069,2,64,1,False,False,False,0.34577083587646484,1.0870020389556885,1.2298712730407715,True,True,0.7408705353736877,4.238422393798828,-0.35550007224082947,-0.8987861275672913,10,6 7 9 10 11 12 13 14 15 16,0.8987861275672913
B_cost_only,env000069,2,64,2,False,False,False,0.26133108139038086,0.9958585500717163,1.2187764644622803,True,True,0.4990127682685852,4.072038650512695,-0.05045594274997711,-0.9212530255317688,11,0 5 6 7 9 10 11 12 13 14 15,0.9212530255317688
B_cost_only,env000069,2,64,3,False,False,False,0.2464311122894287,1.061960220336914,1.1730166673660278,True,True,0.890762448310852,4.336699485778809,-0.25082722306251526,-0.8882660269737244,10,0 6 7 8 9 12 13 14 15 16,0.8882660269737244
B_cost_only,env000091,3,65,0,True,True,False,-0.0746917799115181,1.2173582315444946,2.192960262298584,False,False,0.2974468767642975,3.011852979660034,0.18034614622592926,-0.8013404607772827,5,95 96 97 98 99,0.8013404607772827
B_cost_only,env000091,3,65,1,True,True,False,0.17319084703922272,1.002790093421936,1.066377878189087,False,False,0.2899230122566223,2.4868483543395996,0.17734667658805847,-0.8197651505470276,6,94 95 96 97 98 99,0.8197651505470276
B_cost_only,env000091,3,65,2,True,True,False,0.13616329431533813,0.9917901158332825,1.1509044170379639,False,False,0.2811683416366577,2.5644922256469727,0.18667583167552948,-0.8651756048202515,6,94 95 96 97 98 99,0.8651756048202515
B_cost_only,env000091,3,65,3,True,True,False,0.11838556081056595,1.0695420503616333,1.6173162460327148,False,False,0.30296963453292847,2.5384256839752197,0.18787668645381927,-0.8463773131370544,5,95 96 97 98 99,0.8463773131370544
B_cost_only,env000046,4,66,0,False,False,False,0.014171404764056206,1.1103107929229736,1.271410584449768,True,True,0.5725955367088318,3.2666780948638916,-0.3729170262813568,-0.5224407911300659,12,3 4 5 18 21 22 23 24 25 26 27 28,0.5224407911300659
B_cost_only,env000046,4,66,1,False,False,False,-0.15029284358024597,1.2090768814086914,1.0870921611785889,True,True,0.6047365665435791,3.126796007156372,-0.3890568017959595,-0.6034297943115234,11,4 5 17 18 21 22 23 24 25 26 27,0.6034297943115234
B_cost_only,env000046,4,66,2,False,False,False,0.009495197795331478,1.1710457801818848,0.8312520980834961,True,True,0.26192209124565125,2.780629873275757,-0.002537532476708293,-0.3507446348667145,14,3 4 5 6 18 19 20 21 22 23 24 25 27 28,0.3507446348667145
B_cost_only,env000046,4,66,3,False,False,False,0.07689549028873444,1.1426211595535278,1.3123432397842407,True,True,0.5808855891227722,2.9985625743865967,-0.4024356007575989,-0.5064074993133545,10,4 18 21 22 23 24 25 26 27 28,0.5064074993133545
B_cost_only,env000072,0,67,0,False,False,False,0.598922848701477,1.551928997039795,3.4255480766296387,False,False,1.8532719612121582,3.344809055328369,-0.7677779793739319,-0.8301107287406921,9,50 51 52 53 54 55 56 57 58,0.8301107287406921
B_cost_only,env000072,0,67,1,False,False,False,0.084372878074646,1.153691053390503,1.6053520441055298,True,True,1.8346163034439087,4.7799153327941895,-0.6572595238685608,-0.8278601169586182,14,30 31 35 36 37 39 43 44 45 50 51 52 53 54,0.8278601169586182
