map_id,condition_id,source_id,path_num,strict_safe,max_esdf_violation,safe_cost,path_length,curvature_max,curvature_exceedance,jerk,endpoint_yaw_error,self_intersection,abnormal,mode_label,length_chord_ratio
env000020,1,27,0,False,0.3916183114051819,3.3925607204437256,12.201864242553711,1.8656851053237915,0.030612245202064514,9.86984305200167e-05,0.19307833909988403,False,False,0,1.0297716856002808
env000020,1,28,0,False,0.9058012962341309,6.243600845336914,12.398665428161621,3.363189220428467,0.08163265138864517,0.00017039009253494442,0.08151470869779587,False,False,1,1.046380639076233
env000020,1,29,0,False,0.2942749261856079,3.3941490650177,12.247255325317383,12.39741039276123,0.08163265138864517,0.0004392238624859601,0.4293484389781952,False,False,-1,1.0336024761199951
env000020,1,30,0,False,0.42585864663124084,3.671403408050537,12.219420433044434,9.130915641784668,0.0714285671710968,0.00032018753699958324,0.2964388132095337,False,False,0,1.0312533378601074
env000020,1,31,0,False,0.40966179966926575,3.5167489051818848,12.221147537231445,1.9370436668395996,0.040816325694322586,0.0001253155351150781,0.15119165182113647,False,False,0,1.031399130821228
env000022,2,0,0,True,0.0,0.639945924282074,10.693826675415039,9.786611557006836,0.26530611515045166,0.00027251520077697933,0.20795929431915283,False,False,1,1.2950150966644287
env000022,2,1,0,True,0.0,1.8518263101577759,10.516305923461914,23.584190368652344,0.2142857164144516,0.0010588939767330885,0.7098069190979004,False,False,1,1.2735174894332886
env000022,2,2,0,True,0.0,0.4093596041202545,10.942729949951172,6.054890155792236,0.20408162474632263,0.00016210558533202857,0.1424984335899353,False,False,1,1.3251571655273438
env000022,2,3,0,True,0.0,0.2513154149055481,10.461069107055664,3.3541877269744873,0.2551020383834839,0.00015843605797272176,0.07720178365707397,False,False,0,1.2668282985687256
env000022,2,4,0,True,0.0,0.17486433684825897,10.684734344482422,2.603320837020874,0.2142857164144516,0.00010291262879036367,0.08626168966293335,False,False,1,1.2939140796661377
env000022,2,5,0,True,0.0,0.6752139329910278,11.142986297607422,7.638224124908447,0.22448979318141937,0.00024105784541461617,0.2685958743095398,False,False,1,1.3494080305099487
env000022,2,6,0,True,0.0,1.7952990531921387,10.398918151855469,36.29698181152344,0.2551020383834839,0.005180003121495247,0.4422953426837921,False,False,1,1.2593019008636475
env000022,2,7,0,True,0.0,1.8749960660934448,10.721049308776855,18.021751403808594,0.2551020383834839,0.0007067203987389803,0.8405575752258301,False,False,1,1.2983118295669556
env000022,2,8,0,True,0.0,1.6231014728546143,10.442538261413574,17.941286087036133,0.2857142686843872,0.0008594819810241461,0.5987380743026733,False,False,1,1.2645843029022217
env000022,2,9,0,True,0.0,0.29707515239715576,10.79684829711914,3.18247652053833,0.15306122601032257,0.00014495076902676374,0.2544483542442322,False,False,1,1.3074909448623657
env000022,2,10,0,True,0.0,0.692225992679596,10.730624198913574,8.297953605651855,0.23469386994838715,0.0002506893943063915,0.2906699776649475,False,False,1,1.2994712591171265
env000022,2,11,0,True,0.0,0.29179123044013977,11.206988334655762,4.049428462982178,0.19387754797935486,0.00018101197201758623,0.09342998266220093,False,False,1,1.3571586608886719
env000022,2,12,0,True,0.0,2.418067216873169,10.641220092773438,25.713857650756836,0.27551019191741943,0.0020474169868975878,1.212730884552002,False,False,1,1.288644552230835
env000022,2,13,0,True,0.0,0.6638045310974121,10.623414993286133,8.089727401733398,0.27551019191741943,0.00022308423649519682,0.2354305386543274,False,False,1,1.2864882946014404
env000022,2,14,0,True,0.0,0.44475099444389343,10.591446876525879,5.974661350250244,0.2551020383834839,0.0002099605480907485,0.10930746793746948,False,False,1,1.2826169729232788
env000022,2,15,0,True,0.0,1.3536789417266846,10.62910270690918,16.203868865966797,0.23469386994838715,0.0009599023615010083,0.49019956588745117,False,False,1,1.2871770858764648
env000022,2,16,0,True,0.0,0.1549065262079239,10.512191772460938,1.8605082035064697,0.22448979318141937,8.270608668681234e-05,0.10508555173873901,False,False,1,1.2730193138122559
env000022,2,17,0,True,0.0,0.6173268556594849,10.680852890014648,8.818366050720215,0.26530611515045166,0.0003380954440217465,0.18731743097305298,False,False,1,1.293444037437439
env000022,2,18,0,True,0.0,0.6399393081665039,10.523580551147461,10.747832298278809,0.2448979616165161,0.00030198105378076434,0.18140918016433716,False,False,1,1.2743984460830688
env000022,2,19,0,True,0.0,0.24159952998161316,10.78199291229248,4.671396732330322,0.22448979318141937,0.00011058786913054064,0.026975572109222412,False,False,1,1.3056919574737549
env000022,2,20,0,True,0.0,1.6508159637451172,10.898429870605469,20.345027923583984,0.23469386994838715,0.0007840083562768996,0.6655018925666809,False,False,1,1.31979238986969
env000022,2,21,0,True,0.0,0.7460881471633911,11.266631126403809,8.719931602478027,0.22448979318141937,0.00022248174354899675,0.3673769235610962,False,False,1,1.3643813133239746
env000022,2,22,0,True,0.0,0.40675193071365356,10.585531234741211,5.738139629364014,0.2551020383834839,0.0001830753026297316,0.0728878378868103,False,False,1,1.2819006443023682
env000022,2,23,0,True,0.0,0.7265275120735168,10.75883960723877,8.904362678527832,0.2448979616165161,0.00020307044906076044,0.2829756736755371,False,False,1,1.3028881549835205
