sample_index,environment,path_num,stage1_corrected,stage1_safe,stage1_deviation,stage1_length,stage1_length_ratio,stage1_length_penalty,stage1_obstacle,stage1_curvature,stage1_smoothness,stage1_jerk,stage1_dangerous_ratio,stage1_unsafe_margin_ratio,stage1_min_esdf,stage1_curvature_violation_ratio,stage1_control_oob_ratio,teacher_corrected,teacher_safe,teacher_deviation,teacher_length,teacher_length_ratio,teacher_length_penalty,teacher_obstacle,teacher_curvature,teacher_smoothness,teacher_jerk,teacher_dangerous_ratio,teacher_unsafe_margin_ratio,teacher_min_esdf,teacher_curvature_violation_ratio,teacher_control_oob_ratio,c1_corrected,c1_safe,c1_deviation,c1_length,c1_length_ratio,c1_length_penalty,c1_obstacle,c1_curvature,c1_smoothness,c1_jerk,c1_dangerous_ratio,c1_unsafe_margin_ratio,c1_min_esdf,c1_curvature_violation_ratio,c1_control_oob_ratio,c1_relative_teacher_error,c2_corrected,c2_safe,c2_deviation,c2_length,c2_length_ratio,c2_length_penalty,c2_obstacle,c2_curvature,c2_smoothness,c2_jerk,c2_dangerous_ratio,c2_unsafe_margin_ratio,c2_min_esdf,c2_curvature_violation_ratio,c2_control_oob_ratio,c2_relative_teacher_error,c1_teacher_recovery,c1_improved,c2_teacher_recovery,c2_improved
10,env000064,11,4.514644145965576,4.514644145965576,0.0,15.398982048034668,1.0,0.0,4.355467796325684,0.45938554406166077,0.0007707739714533091,0.0003388687619008124,0.2199999988079071,0.23999999463558197,-0.8028872609138489,0.08163265138864517,0.0,1.1317214965820312,1.0031026601791382,0.6292946338653564,17.766033172607422,1.1537147760391235,1.3799738553643692e-05,0.9119927287101746,0.2181914895772934,0.006106507498770952,0.0031769454944878817,0.029999999329447746,0.029999999329447746,-0.6830184459686279,0.0714285671710968,0.0,1.858970284461975,1.5930029153823853,1.3298367261886597,17.360986709594727,1.1274113655090332,0.0,1.4043786525726318,0.47002315521240234,0.0022351585794240236,0.0007378147565759718,0.04999999701976776,0.04999999701976776,-0.8031734228134155,0.0714285671710968,0.0,1.053138017654419,1.939051866531372,1.6195712089538574,0.4800945818424225,18.22355842590332,1.1834261417388916,0.0011173085076734424,1.5104105472564697,0.29553744196891785,0.0042390101589262486,0.0016885986551642418,0.05999999865889549,0.07999999821186066,-0.7971255779266357,0.05102040618658066,0.0,0.215336412191391,0.78502357006073,True,0.7613512277603149,True
11,env000064,1,9.126173973083496,9.126173973083496,0.0,10.395610809326172,1.0,0.0,4.294532775878906,14.513775825500488,0.018725354224443436,0.007117118686437607,0.1899999976158142,0.25,-0.7453438639640808,0.20408162474632263,0.0,0.5073261857032776,0.29382699728012085,0.9046711325645447,12.087603569030762,1.1627602577209473,0.00016282478463836014,0.09602724760770798,0.7086912393569946,0.002217360306531191,0.001537324977107346,0.0,0.009999999776482582,0.04494017735123634,0.2448979616165161,0.0,1.8014686107635498,1.7630497217178345,0.1920945644378662,11.165884017944336,1.0740959644317627,0.0,1.5639290809631348,0.34016385674476624,0.0005932548083364964,0.00017973582725971937,0.04999999701976776,0.08999999612569809,-0.645004391670227,0.17346937954425812,0.0,1.0158592462539673,0.6567526459693909,0.29781633615493774,1.016106128692627,12.245019912719727,1.1779029369354248,0.0007785751949995756,0.0997614935040474,0.7514635920524597,0.0025640586391091347,0.0017154569504782557,0.0,0.009999999776482582,0.044940173625946045,0.20408162474632263,0.0,0.1873709112405777,0.8498473763465881,True,0.9826627969741821,True
12,env000064,3,4.53044319152832,4.53044319152832,0.0,20.405004501342773,1.0,0.0,4.277021408081055,0.6804237961769104,0.002319114049896598,0.0016838222509250045,0.25999999046325684,0.3100000023841858,-0.7498931288719177,0.10204081237316132,0.0,0.9204784035682678,0.7810930609703064,0.6450986266136169,23.612653732299805,1.1571991443634033,5.182802124181762e-05,0.6887686252593994,0.164231538772583,0.005823239684104919,0.0024779862724244595,0.009999999776482582,0.07000000029802322,-0.4388274848461151,0.010204081423580647,0.0,1.0906810760498047,0.9406394362449646,0.6435270309448242,23.676511764526367,1.1603286266326904,0.000106681021861732,0.8944135904312134,0.08053522557020187,0.0035949875600636005,0.0015691877342760563,0.03999999910593033,0.09999999403953552,-0.43882498145103455,0.020408162847161293,0.0,0.8451768159866333,0.9731640219688416,0.8304699659347534,0.6858115792274475,23.573068618774414,1.155259132385254,2.7658723411150277e-05,0.7467251420021057,0.145563006401062,0.0055176573805511,0.002303358865901828,0.019999999552965164,0.07999999821186066,-0.4388275146484375,0.020408162847161293,0.0,0.08959554135799408,0.9528519511222839,True,0.985405445098877,True
13,env000040,8,4.566186428070068,4.566186428070068,0.0,19.757431030273438,1.0,0.0,4.151726722717285,1.2012141942977905,0.0025745155289769173,0.0020792041905224323,0.22999998927116394,0.26999998092651367,-0.8314846158027649,0.08163265138864517,0.0,0.8474785089492798,0.6603055596351624,0.9243988394737244,22.787946701049805,1.153386116027832,1.1465943316579796e-05,0.5649087429046631,0.27814170718193054,0.010924852453172207,0.005076887551695108,0.009999999776482582,0.029999999329447746,-0.7001368403434753,0.040816325694322586,0.0,1.63473641872406,1.12957763671875,2.5257937908172607,22.358932495117188,1.1316720247268677,0.0,1.0219666957855225,0.2742331624031067,0.0069357482716441154,0.0038897888734936714,0.029999999329447746,0.04999999701976776,-0.8531111478805542,0.06122449040412903,0.0,1.029710054397583,0.9020103216171265,0.7010011076927185,1.0050461292266846,22.422359466552734,1.1348823308944702,0.0,0.6058112978935242,0.20290696620941162,0.009755080565810204,0.004388362169265747,0.009999999776482582,0.029999999329447746,-0.8447489738464355,0.06122449040412903,0.0,0.07778759300708771,0.7882979512214661,True,0.9853357672691345,True
14,env000064,8,4.980905055999756,4.980905055999756,0.0,13.951681137084961,1.0,0.0,3.9761862754821777,2.7073304653167725,0.0014519720571115613,0.0007615503272973001,0.12999999523162842,0.14000000059604645,-0.9483612775802612,0.06122449040412903,0.0,1.1603199243545532,1.0435601472854614,0.5837987661361694,15.795806884765625,1.1321794986724854,0.0,0.8284724354743958,0.5351763963699341,0.005204171407967806,0.002986893756315112,0.029999999329447746,0.029999999329447746,-0.6519562005996704,0.08163265138864517,0.0,1.8646571636199951,1.6202518939971924,1.2220265865325928,14.60351848602295,1.04672110080719,0.0,1.5567315816879272,0.015504074282944202,0.001023838180117309,0.0003635793982539326,0.04999999701976776,0.05999999865889549,-0.8026812076568604,0.010204081423580647,0.0,0.8968358039855957,2.351508378982544,2.290660858154297,0.3042377829551697,15.30448055267334,1.0969631671905518,0.0,1.9851499795913696,0.5120062828063965,0.0029667329508811235,0.0015023370506241918,0.07000000029802322,0.07999999821186066,-0.8102379441261292,0.06122449040412903,0.0,0.5419468283653259,0.8156467080116272,True,0.6882182955741882,True
15,env000040,14,4.273245811462402,4.273245811462402,0.0,15.325170516967773,1.0,0.0,3.954141855239868,1.0041052103042603,0.0008352756849490106,0.0004348321526776999,0.12999999523162842,0.17000000178813934,-0.8232844471931458,0.09183673560619354,0.0,0.8054829239845276,0.6655675172805786,0.6995769143104553,17.373699188232422,1.1336708068847656,0.0,0.6608663201332092,0.013201809488236904,0.005183856002986431,0.002121721627190709,0.019999999552965164,0.019999999552965164,-0.6627980470657349,0.010204081423580647,0.0,0.7248846292495728,0.31352490186691284,2.0567984580993652,16.705934524536133,1.0900977849960327,0.0,0.13953803479671478,0.3881380259990692,0.001272532856091857,0.0005797958001494408,0.0,0.0,0.19947470724582672,0.06122449040412903,0.0,0.9943898916244507,2.535857677459717,2.4797403812408447,0.2805864214897156,16.33136749267578,1.0656565427780151,0.0,2.4113287925720215,0.2056674063205719,0.00227820104919374,0.001244661514647305,0.07999999821186066,0.07999999821186066,-0.8779879212379456,0.040816325694322586,0.0,0.782496452331543,1.0232421159744263,True,0.5010111927986145,True
16,env000015,15,4.043134689331055,4.043134689331055,0.0,15.991776466369629,1.0,0.0,3.7805001735687256,0.6472176313400269,0.0007008162210695446,0.00032281086896546185,0.17000000178813934,0.19999998807907104,-0.8149628043174744,0.05102040618658066,0.0,0.7750201225280762,0.6405143141746521,0.6725291013717651,18.333271026611328,1.1464186906814575,0.0,0.6222342252731323,0.010326147079467773,0.00480696139857173,0.001751017407514155,0.019999999552965164,0.019999999552965164,-0.6653802394866943,0.030612245202064514,0.0,1.1774972677230835,1.0322297811508179,0.7263372540473938,17.73738670349121,1.1091567277908325,0.0,0.9797517657279968,0.030876850709319115,0.0014881507959216833,0.000400930002797395,0.029999999329447746,0.029999999329447746,-0.8273012042045593,0.030612245202064514,0.0,0.8397653102874756,0.892899215221405,0.7267544269561768,0.823442280292511,18.43369483947754,1.1526983976364136,7.281478247023188e-06,0.6918089985847473,0.0443301685154438,0.0039645833894610405,0.0012799948453903198,0.019999999552965164,0.029999999329447746,-0.7933088541030884,0.020408162847161293,0.0,0.11969808489084244,0.8768472671508789,True,0.9639305472373962,True
17,env000064,12,5.233569622039795,5.233569622039795,0.0,12.30376148223877,1.0,0.0,3.591712713241577,4.668887615203857,0.004285426810383797,0.0020706336945295334,0.28999999165534973,0.32999998331069946,-0.6790539026260376,0.19387754797935486,0.0,0.43035805225372314,0.20248942077159882,0.9236963391304016,14.330005645751953,1.1646848917007446,0.0002156467380700633,0.07981423288583755,0.3197460472583771,0.003750924253836274,0.0033186194486916065,0.0,0.0,0.21095198392868042,0.16326530277729034,0.0,0.6598206758499146,0.38404059410095215,1.3789005279541016,13.706174850463867,1.1139824390411377,0.0,0.15181125700473785,0.5090446472167969,0.0014072332996875048,0.000703798548784107,0.0,0.0,0.1545863151550293,0.15306122601032257,0.0,0.7790085077285767,0.5202676057815552,0.36590421199798584,0.7718170881271362,13.947334289550781,1.1335829496383667,0.0,0.17713920772075653,0.44176846742630005,0.00278109242208302,0.002131526591256261,0.0,0.009999999776482582,0.04669519141316414,0.15306122601032257,0.0,0.1300201565027237,0.9522272348403931,True,0.9812813401222229,True
18,env000064,16,4.171051025390625,4.171051025390625,0.0,16.378629684448242,1.0,0.0,3.4225192070007324,1.9804607629776,0.0016384365735575557,0.001046526012942195,0.1899999976158142,0.20999999344348907,-0.573927104473114,0.15306122601032257,0.0,0.4734223186969757,0.3713214099407196,0.42328351736068726,18.988388061523438,1.159339189529419,8.722090569790453e-05,0.3049107789993286,0.21376097202301025,0.0063494229689240456,0.0034386469051241875,0.009999999776482582,0.009999999776482582,-0.3813064694404602,0.1428571343421936,0.0,0.9377754926681519,0.8065747618675232,0.656003475189209,18.2360782623291,1.113406777381897,0.0,0.6657097339630127,0.5573201775550842,0.0024966204073280096,0.0013904914958402514,0.019999999552965164,0.03999999910593033,-0.3813064992427826,0.09183673560619354,0.0,0.9113224148750305,1.0509880781173706,0.9748040437698364,0.38092002272605896,18.623779296875,1.137078046798706,0.0,0.8569422364234924,0.11419758945703506,0.004325456451624632,0.002305746776983142,0.04999999701976776,0.05999999865889549,-0.3813064396381378,0.13265305757522583,0.0,0.17283758521080017,0.8744186162948608,True,0.8438010215759277,True
19,env000064,5,3.788073778152466,3.788073778152466,0.0,18.262311935424805,1.0,0.0,3.3206939697265625,1.2170922756195068,0.0014651980018243194,0.0009496788843534887,0.10999999940395355,0.11999999731779099,-1.2639294862747192,0.08163265138864517,0.0,0.6729017496109009,0.5583582520484924,0.5724518299102783,21.011066436767578,1.1505151987075806,2.654542754498834e-07,0.25643616914749146,0.05353124067187309,0.020742474123835564,0.007891671732068062,0.009999999776482582,0.009999999776482582,-0.3740263879299164,0.020408162847161293,0.0,1.583629846572876,1.4756805896759033,0.5397461652755737,19.874977111816406,1.0883055925369263,0.0,1.2466627359390259,0.0,0.002153832232579589,0.0007395807770080864,0.04999999701976776,0.04999999701976776,-0.6295135021209717,0.0,0.0,1.0540052652359009,1.7035306692123413,1.676145315170288,0.13692660629749298,18.684267044067383,1.023105263710022,0.0,1.379431962966919,0.0,0.0016355222323909402,0.0007693222141824663,0.05999999865889549,0.05999999865889549,-0.5901455879211426,0.0,0.0,0.8074874877929688,0.7076476216316223,True,0.6691583395004272,True
20,env000015,16,3.5401151180267334,3.5401151180267334,0.0,20.84775161743164,1.0,0.0,3.2774319648742676,0.8955199122428894,0.002250393619760871,0.0014892186736688018,0.19999998807907104,0.22999998927116394,-0.5475274324417114,0.08163265138864517,0.0,0.3009885549545288,0.16615869104862213,0.6741493344306946,23.150196075439453,1.1104408502578735,0.0,0.16226594150066376,0.0,0.005336375907063484,0.0022963467054069042,0.009999999776482582,0.019999999552965164,-0.09562565386295319,0.0,0.0,0.7297915816307068,0.6297302842140198,0.5003064870834351,22.979049682617188,1.102231502532959,0.0,0.6178769469261169,0.0009438038105145097,0.002949810354039073,0.0016882403288036585,0.029999999329447746,0.029999999329447746,-0.40082022547721863,0.010204081423580647,0.0,0.9055235385894775,0.48476219177246094,0.30520686507225037,0.8977766036987305,23.215211868286133,1.1135594844818115,0.0,0.2718042731285095,0.04804680496454239,0.005487894639372826,0.0023075034841895103,0.009999999776482582,0.009999999776482582,-0.410386323928833,0.040816325694322586,0.0,0.14356453716754913,0.867617666721344,True,0.9432644248008728,True
21,env000015,10,4.045726776123047,4.045726776123047,0.0,9.926398277282715,1.0,0.0,3.0921144485473633,2.7737255096435547,0.0007855060393922031,0.00039537902921438217,0.14000000059604645,0.1599999964237213,-0.59367835521698,0.09183673560619354,0.0,0.22209791839122772,0.17382092773914337,0.24138493835926056,11.140199661254883,1.1222801208496094,0.0,0.04987061396241188,0.37910792231559753,0.004184390883892775,0.004985431209206581,0.0,0.0,0.21689054369926453,0.040816325694322586,0.0,0.32079264521598816,0.2635604739189148,0.28616079688072205,11.025933265686035,1.1107687950134277,0.0,0.08102701604366302,0.020521951839327812,0.0006482022581622005,0.00031044118804857135,0.0,0.0,0.24391937255859375,0.020408162847161293,0.0,0.9580197930335999,0.4709230363368988,0.42763492465019226,0.21644054353237152,10.879526138305664,1.0960195064544678,0.0,0.059706322848796844,0.11455204337835312,0.0005258357850834727,0.00012811293709091842,0.0,0.0,0.2647925019264221,0.040816325694322586,0.0,0.5226379036903381,0.9741882085800171,True,0.9349243640899658,True
